"ERROR"
Node pair counts:
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 13
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression10 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 40
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 3
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 6
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 6
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 130
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression11 -> Cubix.Language.SuiMove.Modularized.VerticalLineTok: 134
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.CircumflexAccentTok: 131
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 18
